,2017-12-30,2018-12-29,2020-01-04,2021-01-02
Change To Liabilities,-156000000.0,-63000000.0,280000000.0,-613000000.0
Total Cashflows From Investing Activities,-645000000.0,620000000.0,-266000000.0,-248000000.0
Net Borrowings,195000000.0,-131000000.0,-2000000.0,544000000.0
Total Cash From Financing Activities,-360000000.0,-1864000000.0,-502000000.0,360000000.0
Change To Operating Activities,-367000000.0,-303000000.0,-402000000.0,-43000000.0
Issuance Of Stock,52000000.0,74000000.0,24000000.0,22000000.0
Net Income,307000000.0,1222000000.0,815000000.0,309000000.0
Change In Cash,-36000000.0,-155000000.0,250000000.0,897000000.0
Repurchase Of Stock,-582000000.0,-1783000000.0,-503000000.0,-183000000.0
Effect Of Exchange Rate,33000000.0,-18000000.0,4000000.0,17000000.0
Total Cash From Operating Activities,936000000.0,1107000000.0,1014000000.0,768000000.0
Depreciation,447000000.0,437000000.0,416000000.0,391000000.0
Other Cashflows From Investing Activities,77000000.0,178000000.0,27000000.0,62000000.0
Dividends Paid,-21000000.0,-20000000.0,-18000000.0,-18000000.0
Change To Inventory,412000000.0,41000000.0,-292000000.0,434000000.0
Change To Account Receivables,-236000000.0,50000000.0,99000000.0,149000000.0
Other Cashflows From Financing Activities,-4000000.0,-4000000.0,-3000000.0,-5000000.0
Change To Netincome,451000000.0,-244000000.0,181000000.0,203000000.0
Capital Expenditures,-423000000.0,-369000000.0,-339000000.0,-317000000.0
