,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,77497000000.0,97723000000.0,95493000000.0,94754000000.0
Capital Surplus,37497000000.0,37461000000.0,38447000000.0,39464000000.0
Total Liab,116646000000.0,177866000000.0,178168000000.0,180851000000.0
Total Stockholder Equity,68616000000.0,71613000000.0,82726000000.0,90323000000.0
Minority Interest,2200000000.0,2205000000.0,2520000000.0,2695000000.0
Deferred Long Term Liab,922000000.0,991000000.0,1083000000.0,1060000000.0
Other Current Liab,3331000000.0,3990000000.0,6198000000.0,4669000000.0
Total Assets,187462000000.0,251684000000.0,263414000000.0,273869000000.0
Common Stock,55000000.0,54000000.0,54000000.0,54000000.0
Other Current Assets,4081000000.0,6930000000.0,7000000000.0,3535000000.0
Retained Earnings,38202000000.0,41983000000.0,50695000000.0,56438000000.0
Other Liab,35231000000.0,42918000000.0,41054000000.0,42533000000.0
Good Will,36780000000.0,66154000000.0,68725000000.0,70669000000.0
Treasury Stock,-7138000000.0,-7885000000.0,-6470000000.0,-5633000000.0
Other Assets,11441000000.0,13639000000.0,14455000000.0,18106000000.0
Cash,3428000000.0,3814000000.0,5500000000.0,11740000000.0
Total Current Liabilities,21993000000.0,27603000000.0,30292000000.0,28796000000.0
Short Long Term Debt,5134000000.0,4398000000.0,4452000000.0,2936000000.0
Other Stockholder Equity,379000000.0,-368000000.0,1047000000.0,1884000000.0
Property Plant Equipment,38470000000.0,44437000000.0,52360000000.0,55779000000.0
Total Current Assets,16343000000.0,21848000000.0,25392000000.0,26741000000.0
Long Term Investments,6931000000.0,7883000000.0,6989000000.0,7820000000.0
Net Tangible Assets,-45661000000.0,-92264000000.0,-81492000000.0,-75100000000.0
Net Receivables,8834000000.0,11104000000.0,11292000000.0,11466000000.0
Long Term Debt,59422000000.0,107345000000.0,102931000000.0,104991000000.0
Accounts Payable,6908000000.0,8494000000.0,10826000000.0,11364000000.0
Short Term Investments,,,1600000000.0,
