,2018-02-03,2019-02-02,2020-02-01,2021-01-30,2022-01-29
Intangible Assets,18000000.0,368000000.0,381000000.0,301000000.0,275000000.0
Total Liab,9437000000.0,9595000000.0,12112000000.0,14480000000.0,14484000000.0
Total Stockholder Equity,3612000000.0,3306000000.0,3479000000.0,4587000000.0,3020000000.0
Other Current Liab,1067000000.0,882000000.0,921000000.0,1099000000.0,1502000000.0
Total Assets,13049000000.0,12901000000.0,15591000000.0,19067000000.0,17504000000.0
Common Stock,28000000.0,27000000.0,26000000.0,26000000.0,23000000.0
Other Current Assets,274000000.0,283000000.0,204000000.0,308000000.0,596000000.0
Retained Earnings,3270000000.0,2985000000.0,3158000000.0,4233000000.0,2668000000.0
Other Liab,805000000.0,749000000.0,657000000.0,694000000.0,533000000.0
Good Will,425000000.0,915000000.0,984000000.0,986000000.0,1384000000.0
Treasury Stock,314000000.0,294000000.0,295000000.0,328000000.0,329000000.0
Other Assets,356000000.0,212000000.0,243000000.0,277000000.0,352000000.0
Cash,1101000000.0,1980000000.0,2229000000.0,5494000000.0,2936000000.0
Total Current Liabilities,7817000000.0,7513000000.0,8060000000.0,10521000000.0,10674000000.0
Deferred Long Term Asset Charges,159000000.0,55000000.0,9000000.0,17000000.0,25000000.0
Other Stockholder Equity,314000000.0,294000000.0,295000000.0,328000000.0,329000000.0
Property Plant Equipment,2421000000.0,2510000000.0,5037000000.0,4872000000.0,4904000000.0
Total Current Assets,9829000000.0,8870000000.0,8857000000.0,12540000000.0,10539000000.0
Long Term Investments,,26000000.0,89000000.0,91000000.0,50000000.0
Net Tangible Assets,3169000000.0,2023000000.0,2114000000.0,3300000000.0,1361000000.0
Net Receivables,1049000000.0,1015000000.0,1149000000.0,1061000000.0,1042000000.0
Long Term Debt,815000000.0,1168000000.0,1233000000.0,1229000000.0,1189000000.0
Inventory,5209000000.0,5409000000.0,5174000000.0,5612000000.0,5965000000.0
Accounts Payable,4873000000.0,5257000000.0,5288000000.0,6979000000.0,6803000000.0
Short Term Investments,2196000000.0,183000000.0,101000000.0,65000000.0,
Short Long Term Debt,545000000.0,1000000.0,14000000.0,,
