,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Change To Liabilities,-87145000.0,-69519000.0,122618000.0,185688000.0,-115034000.0,119406000.0,20104000.0,211989000.0,-198701000.0,-132424000.0,5455000.0
Total Cashflows From Investing Activities,-98303000.0,-142001000.0,-118651000.0,-146399000.0,-85616000.0,-111278000.0,-188631000.0,-954328000.0,-245679000.0,-158894000.0,-84960000.0
Total Cash From Financing Activities,43694000.0,1090965000.0,68665000.0,33987000.0,-451929000.0,-480273000.0,-81555000.0,-136019000.0,-686322000.0,11250000.0,4113000.0
Change To Operating Activities,45392000.0,-141187000.0,223054000.0,-310774000.0,-105026000.0,-296346000.0,163615000.0,-240685000.0,223989000.0,9720000.0,87817000.0
Issuance Of Stock,43694000.0,89060000.0,68665000.0,33987000.0,48071000.0,19749000.0,18445000.0,88149000.0,13678000.0,11250000.0,4113000.0
Net Income,709067000.0,720196000.0,789976000.0,542156000.0,1706715000.0,1353013000.0,1449071000.0,607429000.0,1597447000.0,1440951000.0,1398242000.0
Change In Cash,134401000.0,2001859000.0,1242234000.0,-183410000.0,197583000.0,-631835000.0,-251650000.0,-1497857000.0,-20610000.0,-190092000.0,295905000.0
Effect Of Exchange Rate,-70902000.0,11819000.0,28459000.0,66674000.0,-42138000.0,23477000.0,-63843000.0,-4236000.0,-11448000.0,-145198000.0,-180058000.0
Total Cash From Operating Activities,259912000.0,1041076000.0,1263761000.0,-137672000.0,777266000.0,-63761000.0,82379000.0,-403274000.0,922839000.0,102750000.0,556810000.0
Depreciation,28517000.0,26661000.0,28589000.0,31943000.0,35741000.0,38434000.0,70253000.0,63984000.0,74602000.0,83505000.0,85188000.0
Change To Netincome,-2919304000.0,-2102234000.0,-2634219000.0,-3569310000.0,-3464326000.0,-4085071000.0,-4583715000.0,-4787308000.0,-3940863000.0,-4560350000.0,-4673484000.0
Capital Expenditures,-98015000.0,-141741000.0,-109811000.0,-148356000.0,-81001000.0,-110278000.0,-167327000.0,-165979000.0,-121158000.0,-90018000.0,-84960000.0
Net Borrowings,1009464000.0,1009464000.0,-500000000.0,-500000000.0,-500000000.0,-700000000.0,-700000000.0,-700000000.0,-700000000.0,,
Repurchase Of Stock,,,-500022000.0,-500022000.0,-500022000.0,-500022000.0,-100000000.0,-224168000.0,,,
Other Cashflows From Investing Activities,-288000.0,-260000.0,-8840000.0,1957000.0,-4615000.0,-1000000.0,-21304000.0,,,,
Other Cashflows From Financing Activities,-7559000.0,-7559000.0,,,,,,,,,
