,2018-02-03,2019-02-02,2020-02-01,2021-01-30
Capital Surplus,1292364000.0,1375965000.0,1458307000.0,1579824000.0
Total Liab,2672743000.0,2767945000.0,5989118000.0,9427227000.0
Total Stockholder Equity,3049308000.0,3305746000.0,3359249000.0,3290640000.0
Other Current Liab,8400000.0,57549000.0,35325000.0,75880000.0
Total Assets,5722051000.0,6073691000.0,9348367000.0,12717867000.0
Common Stock,3796000.0,3682000.0,3568000.0,3565000.0
Other Current Assets,11847000.0,11802000.0,10235000.0,85711000.0
Retained Earnings,2071400000.0,2298762000.0,2330702000.0,2185801000.0
Other Liab,434347000.0,446021000.0,363765000.0,390425000.0
Treasury Stock,-318252000.0,-372663000.0,-433328000.0,-478550000.0
Other Assets,187718000.0,194471000.0,208321000.0,230061000.0
Cash,1290294000.0,1412912000.0,1351205000.0,4819293000.0
Total Current Liabilities,1926402000.0,2009484000.0,2701934000.0,3967033000.0
Short Long Term Debt,84973000.0,,,64910000.0
Property Plant Equipment,2382464000.0,2475201000.0,5707218000.0,5795315000.0
Total Current Assets,3151157000.0,3404019000.0,3432828000.0,6692491000.0
Net Tangible Assets,3049308000.0,3305746000.0,3359249000.0,3290640000.0
Net Receivables,87868000.0,106911000.0,112936000.0,125767000.0
Long Term Debt,311994000.0,312440000.0,312891000.0,2448175000.0
Inventory,1641735000.0,1750442000.0,1832339000.0,1508982000.0
Accounts Payable,1059844000.0,1177104000.0,1296482000.0,2256928000.0
Other Stockholder Equity,27000.0,,,
Long Term Investments,712000.0,,,
Short Term Investments,512000.0,,,
