,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,3742000000.0,3087000000.0,15235000000.0,13796000000.0,12511000000.0
Total Liab,107631000000.0,106452000000.0,131201000000.0,135245000000.0,113005000000.0
Total Stockholder Equity,17594000000.0,16796000000.0,20841000000.0,20597000000.0,18901000000.0
Minority Interest,131000000.0,134000000.0,144000000.0,129000000.0,95000000.0
Deferred Long Term Liab,2136000000.0,2676000000.0,2472000000.0,2449000000.0,924000000.0
Other Current Liab,16451000000.0,14659000000.0,15259000000.0,16925000000.0,21903000000.0
Total Assets,125356000000.0,123382000000.0,152186000000.0,155971000000.0,132001000000.0
Common Stock,54566000000.0,55151000000.0,55895000000.0,56556000000.0,57319000000.0
Other Current Assets,2266000000.0,2911000000.0,2212000000.0,2655000000.0,1404000000.0
Retained Earnings,153126000000.0,159206000000.0,162954000000.0,162717000000.0,154209000000.0
Other Liab,30397000000.0,32620000000.0,35519000000.0,37447000000.0,32007000000.0
Good Will,36788000000.0,36265000000.0,58222000000.0,59617000000.0,55643000000.0
Treasury Stock,-190098000000.0,-197561000000.0,-198008000000.0,-198676000000.0,-192627000000.0
Other Assets,13844000000.0,14718000000.0,16369000000.0,21355000000.0,18144000000.0
Cash,11972000000.0,11379000000.0,8172000000.0,13212000000.0,6650000000.0
Total Current Liabilities,37363000000.0,38227000000.0,37701000000.0,39869000000.0,33619000000.0
Deferred Long Term Asset Charges,4862000000.0,5216000000.0,5182000000.0,9241000000.0,7370000000.0
Short Long Term Debt,5215000000.0,7048000000.0,7470000000.0,6956000000.0,
Other Stockholder Equity,-26591000000.0,-29490000000.0,-28595000000.0,-29337000000.0,-23235000000.0
Property Plant Equipment,11116000000.0,10792000000.0,15006000000.0,14726000000.0,8916000000.0
Total Current Assets,49735000000.0,49146000000.0,38420000000.0,39165000000.0,29539000000.0
Long Term Investments,581000000.0,226000000.0,222000000.0,226000000.0,1823000000.0
Net Tangible Assets,-22936000000.0,-22556000000.0,-52616000000.0,-52816000000.0,-49253000000.0
Short Term Investments,608000000.0,618000000.0,696000000.0,600000000.0,600000000.0
Net Receivables,10380000000.0,8645000000.0,10069000000.0,8343000000.0,7756000000.0
Long Term Debt,39871000000.0,35567000000.0,53951000000.0,54156000000.0,44917000000.0
Inventory,1583000000.0,1682000000.0,1619000000.0,1839000000.0,1649000000.0
Accounts Payable,6451000000.0,6558000000.0,4896000000.0,4908000000.0,3955000000.0
