,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,307000000.0,398000000.0,402000000.0,401000000.0
Capital Surplus,26751000000.0,26013000000.0,25830000000.0,26037000000.0
Total Liab,26006000000.0,24324000000.0,23361000000.0,23476000000.0
Total Stockholder Equity,7977000000.0,9798000000.0,9298000000.0,10174000000.0
Minority Interest,3319000000.0,8094000000.0,8150000000.0,8494000000.0
Other Current Liab,814000000.0,559000000.0,495000000.0,799000000.0
Total Assets,37302000000.0,42216000000.0,40809000000.0,42144000000.0
Common Stock,158000000.0,158000000.0,158000000.0,159000000.0
Other Current Assets,234000000.0,313000000.0,555000000.0,244000000.0
Retained Earnings,-14722000000.0,-12041000000.0,-12280000000.0,-11681000000.0
Other Liab,9277000000.0,9871000000.0,10127000000.0,10192000000.0
Treasury Stock,-4210000000.0,-4332000000.0,-4410000000.0,-4341000000.0
Other Assets,3113000000.0,3028000000.0,2605000000.0,2327000000.0
Cash,4526000000.0,4217000000.0,2020000000.0,3657000000.0
Total Current Liabilities,4914000000.0,3329000000.0,3209000000.0,3417000000.0
Short Long Term Debt,1414000000.0,17000000.0,5000000.0,34000000.0
Other Stockholder Equity,-487000000.0,-605000000.0,-676000000.0,-583000000.0
Property Plant Equipment,22994000000.0,28010000000.0,29584000000.0,29818000000.0
Total Current Assets,10626000000.0,10464000000.0,7915000000.0,9303000000.0
Long Term Investments,262000000.0,316000000.0,303000000.0,295000000.0
Net Tangible Assets,7670000000.0,9400000000.0,8896000000.0,9773000000.0
Short Term Investments,52000000.0,109000000.0,100000000.0,97000000.0
Net Receivables,1665000000.0,1322000000.0,1167000000.0,1412000000.0
Long Term Debt,11815000000.0,11124000000.0,9821000000.0,9677000000.0
Inventory,4149000000.0,4503000000.0,4073000000.0,3893000000.0
Accounts Payable,1546000000.0,1661000000.0,1654000000.0,1473000000.0
