,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,43846000.0,41825000.0,58468000.0,52543000.0
Capital Surplus,1073931000.0,1138216000.0,1213517000.0,1294849000.0
Total Liab,1767258000.0,1546582000.0,1654650000.0,1661766000.0
Total Stockholder Equity,-54106000.0,-9513000.0,177473000.0,632088000.0
Minority Interest,264000.0,280000.0,352000.0,707000.0
Deferred Long Term Liab,64670000.0,99332000.0,108559000.0,116088000.0
Other Current Liab,58570000.0,67899000.0,72570000.0,85243000.0
Total Assets,1713416000.0,1537349000.0,1832475000.0,2294561000.0
Common Stock,10428000.0,10509000.0,10571000.0,10646000.0
Other Current Assets,36698000.0,54138000.0,54815000.0,59639000.0
Retained Earnings,803545000.0,1167928000.0,1595648000.0,2175595000.0
Other Liab,156616000.0,174790000.0,162931000.0,143448000.0
Good Will,199873000.0,214489000.0,239724000.0,243347000.0
Treasury Stock,-1942010000.0,-2326166000.0,-2642263000.0,-2849002000.0
Other Assets,118616000.0,189593000.0,240192000.0,289595000.0
Cash,187675000.0,123794000.0,90326000.0,383928000.0
Total Current Liabilities,1004567000.0,770444000.0,725337000.0,582761000.0
Deferred Long Term Asset Charges,7698000.0,8481000.0,8100000.0,31549000.0
Short Long Term Debt,655000000.0,398937000.0,288765000.0,49988000.0
Other Stockholder Equity,-30482000.0,-37267000.0,-41720000.0,-49112000.0
Property Plant Equipment,379096000.0,437270000.0,614452000.0,646338000.0
Total Current Assets,971985000.0,654172000.0,679639000.0,1062738000.0
Net Tangible Assets,-297825000.0,-265827000.0,-120719000.0,336198000.0
Net Receivables,270072000.0,272623000.0,307487000.0,374742000.0
Long Term Debt,606075000.0,601348000.0,698910000.0,858492000.0
Inventory,164318000.0,173303000.0,195019000.0,209873000.0
Accounts Payable,66968000.0,69534000.0,72172000.0,74558000.0
Short Term Investments,284255000.0,,,
