,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,7100000.0,3900000.0,2600000.0,1300000.0
Capital Surplus,7121112000.0,7138170000.0,7166073000.0,7176793000.0
Total Liab,4918025000.0,4951592000.0,4940991000.0,5106383000.0
Total Stockholder Equity,6339903000.0,6149831000.0,6068556000.0,5871624000.0
Minority Interest,233982000.0,222349000.0,220894000.0,216775000.0
Other Current Liab,200700000.0,181700000.0,188300000.0,197100000.0
Total Assets,11491919000.0,11323781000.0,11230450000.0,11194791000.0
Common Stock,1134000.0,1136000.0,1140000.0,1141000.0
Other Current Assets,104638000.0,36014000.0,86565000.0,49417000.0
Other Liab,10408000.0,9414000.0,14131000.0,15397000.0
Treasury Stock,-782343000.0,-989475000.0,-1098657000.0,-1306310000.0
Other Assets,161192000.0,148664000.0,101229000.0,140354000.0
Cash,10750000.0,34259000.0,20476000.0,25198000.0
Total Current Liabilities,405560000.0,413850000.0,439162000.0,862902000.0
Short Long Term Debt,1300000.0,5300000.0,,191505000.0
Other Stockholder Equity,-782343000.0,-989475000.0,-1098657000.0,-1306310000.0
Property Plant Equipment,11159683000.0,11049263000.0,10962706000.0,10912197000.0
Total Current Assets,118988000.0,73973000.0,107141000.0,74615000.0
Long Term Investments,44956000.0,47981000.0,56774000.0,66325000.0
Net Tangible Assets,6332803000.0,6145931000.0,6065956000.0,5870324000.0
Long Term Debt,4502057000.0,4528328000.0,4454598000.0,4199207000.0
