,2017-09-03,2018-09-02,2019-09-01,2020-08-30,2021-08-29,2022-08-28
Investments,106000000.0,18000000.0,137000000.0,52000000.0,115000000.0,24000000.0
Change To Liabilities,2258000000.0,1561000000.0,322000000.0,2261000000.0,1838000000.0,1891000000.0
Total Cashflows From Investing Activities,-2366000000.0,-2947000000.0,-2865000000.0,-3891000000.0,-3535000000.0,-3915000000.0
Net Borrowings,1346000000.0,-6000000.0,419000000.0,792000000.0,-94000000.0,-800000000.0
Total Cash From Financing Activities,-3218000000.0,-1281000000.0,-1147000000.0,-1147000000.0,-6488000000.0,-4283000000.0
Change To Operating Activities,807000000.0,421000000.0,623000000.0,728000000.0,1057000000.0,549000000.0
Net Income,2679000000.0,3134000000.0,3659000000.0,4002000000.0,5007000000.0,5844000000.0
Change In Cash,1167000000.0,1509000000.0,2329000000.0,3893000000.0,-1019000000.0,-1055000000.0
Repurchase Of Stock,-671000000.0,-545000000.0,-519000000.0,-526000000.0,-808000000.0,-802000000.0
Effect Of Exchange Rate,25000000.0,-37000000.0,-15000000.0,70000000.0,46000000.0,-249000000.0
Total Cash From Operating Activities,6726000000.0,5774000000.0,6356000000.0,8861000000.0,8958000000.0,7392000000.0
Depreciation,1370000000.0,1437000000.0,1492000000.0,1645000000.0,1781000000.0,1900000000.0
Other Cashflows From Investing Activities,30000000.0,4000000.0,-4000000.0,30000000.0,-62000000.0,-48000000.0
Dividends Paid,-804000000.0,-689000000.0,-1038000000.0,-1479000000.0,-1318000000.0,-1498000000.0
Change To Inventory,-894000000.0,-1313000000.0,-536000000.0,-791000000.0,-1892000000.0,-4003000000.0
Other Cashflows From Financing Activities,11000000.0,-41000000.0,-9000000.0,66000000.0,162000000.0,-1183000000.0
Change To Netincome,506000000.0,534000000.0,796000000.0,1016000000.0,1167000000.0,1211000000.0
Capital Expenditures,-2502000000.0,-2969000000.0,-2998000000.0,-2810000000.0,-3588000000.0,-3891000000.0
