,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,2181707000.0,2488618000.0,13154655000.0,12015883000.0,11633709000.0
Capital Surplus,2379774000.0,2235167000.0,25833307000.0,24963769000.0,22880261000.0
Total Liab,9032838000.0,9044431000.0,16425173000.0,16714501000.0,19410296000.0
Total Stockholder Equity,3794527000.0,3991407000.0,27855747000.0,27332370000.0,25628201000.0
Minority Interest,170704000.0,194936000.0,199242000.0,154674000.0,241216000.0
Deferred Long Term Liab,,207570000.0,265095000.0,335151000.0,487580000.0
Other Current Liab,2752373000.0,2073950000.0,2229707000.0,2478060000.0,2781037000.0
Total Assets,12998069000.0,13230774000.0,44480162000.0,44201545000.0,45279713000.0
Other Current Assets,2459292000.0,1600222000.0,1353778000.0,1374756000.0,1287254000.0
Retained Earnings,1597897000.0,2066415000.0,2333011000.0,2570874000.0,2982122000.0
Other Liab,657840000.0,746042000.0,3312371000.0,3185497000.0,2981747000.0
Good Will,5703992000.0,6341355000.0,23759740000.0,23871451000.0,24813274000.0
Treasury Stock,-183144000.0,-310175000.0,-310571000.0,-202273000.0,-234182000.0
Other Assets,211241000.0,362795000.0,1379717000.0,1662122000.0,1940077000.0
Cash,1335855000.0,1210878000.0,1678273000.0,1945868000.0,1979308000.0
Total Current Liabilities,3815590000.0,3268620000.0,3579346000.0,4549091000.0,4463014000.0
Deferred Long Term Asset Charges,13146000.0,8128000.0,6292000.0,7627000.0,12117000.0
Short Long Term Debt,100308000.0,115075000.0,28567000.0,810470000.0,87377000.0
Other Stockholder Equity,-183144000.0,-310175000.0,-310571000.0,-202273000.0,-234182000.0
Property Plant Equipment,588348000.0,653542000.0,1819602000.0,2059729000.0,2181668000.0
Total Current Assets,4303579000.0,3376208000.0,4366448000.0,4592360000.0,4710985000.0
Net Tangible Assets,-4091172000.0,-4838566000.0,-9058648000.0,-8554964000.0,-10818782000.0
Net Receivables,301887000.0,348400000.0,895232000.0,796272000.0,946247000.0
Long Term Debt,4559408000.0,5029769000.0,9109542000.0,8474125000.0,11370293000.0
Accounts Payable,47391000.0,76229000.0,148084000.0,128721000.0,262014000.0
Long Term Investments,9202000.0,8256000.0,,,
