,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,373000000.0,324000000.0,641000000.0,630000000.0,418000000.0
Capital Surplus,53357000000.0,54005000000.0,54883000000.0,55679000000.0,56396000000.0
Total Liab,833980000000.0,840043000000.0,900990000000.0,1065456000000.0,1353222000000.0
Total Stockholder Equity,70390000000.0,78982000000.0,79062000000.0,84729000000.0,99223000000.0
Minority Interest,553000000.0,1568000000.0,1713000000.0,1640000000.0,840000000.0
Other Current Liab,76350000000.0,69167000000.0,67980000000.0,98291000000.0,212433000000.0
Total Assets,916776000000.0,931796000000.0,992968000000.0,1163028000000.0,1463988000000.0
Common Stock,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0
Other Current Assets,634000000.0,48746000000.0,67075000000.0,69468000000.0,69228000000.0
Retained Earnings,91519000000.0,100100000000.0,106465000000.0,112947000000.0,131811000000.0
Other Liab,138604000000.0,158257000000.0,190019000000.0,259962000000.0,283625000000.0
Good Will,3665000000.0,3758000000.0,4196000000.0,4332000000.0,4285000000.0
Treasury Stock,-74495000000.0,-75132000000.0,-82295000000.0,-83906000000.0,-88993000000.0
Cash,110051000000.0,130547000000.0,133546000000.0,155842000000.0,261036000000.0
Total Current Liabilities,467797000000.0,445759000000.0,489941000000.0,577535000000.0,804148000000.0
Short Long Term Debt,30090000000.0,27476000000.0,30636000000.0,25914000000.0,18118000000.0
Other Stockholder Equity,897000000.0,3538000000.0,1711000000.0,2034000000.0,2143000000.0
Property Plant Equipment,15094000000.0,18317000000.0,24246000000.0,25427000000.0,20386000000.0
Total Current Assets,895890000000.0,861520000000.0,899342000000.0,1043516000000.0,1349466000000.0
Long Term Investments,1754000000.0,47877000000.0,64543000000.0,89123000000.0,89433000000.0
Net Tangible Assets,66352000000.0,74900000000.0,74225000000.0,79767000000.0,94520000000.0
Short Term Investments,580321000000.0,274543000000.0,221762000000.0,250220000000.0,384474000000.0
Net Receivables,157547000000.0,174860000000.0,188232000000.0,243387000000.0,327020000000.0
Long Term Debt,227579000000.0,236027000000.0,219029000000.0,226018000000.0,263466000000.0
Accounts Payable,178169000000.0,180235000000.0,174817000000.0,190658000000.0,251931000000.0
Other Assets,,,,,
