,2020-06-28,2020-09-27,2020-12-27,2021-03-28,2021-06-27,2021-10-03
Investments,-186800000.0,-29600000.0,69400000.0,19600000.0,-27200000.0,-5100000.0
Change To Liabilities,-154000000.0,48500000.0,423700000.0,-312600000.0,49500000.0,23200000.0
Total Cashflows From Investing Activities,-583800000.0,-379800000.0,-272500000.0,-306500000.0,-407200000.0,666700000.0
Net Borrowings,2817300000.0,-497600000.0,-451800000.0,-1211900000.0,-13400000.0,-4100000.0
Total Cash From Financing Activities,2342900000.0,-779700000.0,-965800000.0,-1711600000.0,-490500000.0,-483100000.0
Change To Operating Activities,-343000000.0,71400000.0,-297300000.0,-179800000.0,-181300000.0,-219900000.0
Issuance Of Stock,33500000.0,199900000.0,102800000.0,31600000.0,57200000.0,54600000.0
Net Income,-678400000.0,392600000.0,622200000.0,659400000.0,1153400000.0,1764400000.0
Change In Cash,1393600000.0,385000000.0,677200000.0,-1147400000.0,872400000.0,1702600000.0
Repurchase Of Stock,-1500000.0,-2800000.0,-88600000.0,-1500000.0,-4100000.0,-2800000.0
Effect Of Exchange Rate,2200000.0,53800000.0,79800000.0,-13100000.0,21200000.0,-1700000.0
Total Cash From Operating Activities,-367700000.0,1490700000.0,1835700000.0,883800000.0,1748900000.0,1520700000.0
Depreciation,377100000.0,379200000.0,388400000.0,384500000.0,373300000.0,377900000.0
Other Cashflows From Investing Activities,-16900000.0,-5000000.0,-17700000.0,-2400000.0,-42200000.0,-18900000.0
Dividends Paid,-479000000.0,-479300000.0,-528200000.0,-529800000.0,-530200000.0,-530800000.0
Change To Inventory,-88600000.0,40800000.0,90100000.0,-38800000.0,-42900000.0,-58200000.0
Change To Account Receivables,74100000.0,-16100000.0,19600000.0,-6800000.0,-25900000.0,-29900000.0
Change To Netincome,442200000.0,564400000.0,532100000.0,394800000.0,334000000.0,-494000000.0
Capital Expenditures,-380100000.0,-345200000.0,-324200000.0,-323700000.0,-337800000.0,-484300000.0
Other Cashflows From Financing Activities,-27400000.0,100000.0,,,,
